Waktu,User,Lattitude,LongitudeDegree
20 Jul 2019 15.28.37,1,-6,972635,107,632765,127,6
20 Jul 2019 15.28.39,1,-6,972552,107,632676,127,6
20 Jul 2019 15.28.40,1,-6,972835,107,632659,92,52
20 Jul 2019 15.28.42,1,-6,972635,107,632765,127,6
20 Jul 2019 15.28.43,1,-6,972552,107,632676,127,6
20 Jul 2019 15.28.45,1,-6,972835,107,632659,92,52
20 Jul 2019 15.28.46,1,-6,972635,107,632765,127,6
20 Jul 2019 15.28.51,1,-6,972635,107,632765,127,6
20 Jul 2019 15.28.52,1,-6,972552,107,632676,127,6
20 Jul 2019 15.28.54,1,-6,972835,107,632659,92,52
20 Jul 2019 15.28.55,1,-6,972635,107,632765,127,6
20 Jul 2019 15.28.57,1,-6,972552,107,632676,127,6
20 Jul 2019 15.28.58,1,-6,972835,107,632659,92,52
20 Jul 2019 15.29.00,1,-6,972635,107,632765,127,6
20 Jul 2019 15.29.01,1,-6,972552,107,632676,127,6
20 Jul 2019 15.29.03,1,-6,972835,107,632659,92,52
20 Jul 2019 15.29.04,1,-6,972635,107,632765,127,6
20 Jul 2019 15.29.06,1,-6,972552,107,632676,127,6
20 Jul 2019 15.29.07,1,-6,972835,107,632659,92,52
20 Jul 2019 15.29.09,1,-6,972635,107,632765,127,6
20 Jul 2019 15.29.10,1,-6,972552,107,632676,127,6
20 Jul 2019 15.29.12,1,-6,972835,107,632659,92,52
20 Jul 2019 15.29.13,1,-6,972635,107,632765,127,6
20 Jul 2019 15.29.15,1,-6,972552,107,632676,127,6
20 Jul 2019 15.29.16,1,-6,972835,107,632659,92,52
20 Jul 2019 15.29.18,1,-6,972635,107,632765,127,6
20 Jul 2019 15.29.19,1,-6,972552,107,632676,127,6
20 Jul 2019 15.29.21,1,-6,972835,107,632659,92,52
20 Jul 2019 15.29.22,1,-6,972635,107,632765,127,6
20 Jul 2019 15.29.24,1,-6,972552,107,632676,127,6
20 Jul 2019 15.29.25,1,-6,972835,107,632659,92,52
20 Jul 2019 15.29.27,1,-6,972635,107,632765,127,6
20 Jul 2019 15.29.28,1,-6,972552,107,632676,127,6
