Waktu,User,Lattitude,LongitudeDegree
27 Jul 2019 16.34.53,1,-6,972835,107,632659,92,52
27 Jul 2019 16.34.54,1,-6,972635,107,632765,127,6
27 Jul 2019 16.34.55,1,-6,972552,107,632676,127,6
27 Jul 2019 16.34.57,1,-6,972835,107,632659,92,52
27 Jul 2019 16.34.58,1,-6,972635,107,632765,127,6
27 Jul 2019 16.35.00,1,-6,972552,107,632676,127,6
27 Jul 2019 16.35.01,1,-6,972835,107,632659,92,52
27 Jul 2019 16.35.03,1,-6,972635,107,632765,127,6
27 Jul 2019 16.35.04,1,-6,972552,107,632676,127,6
27 Jul 2019 16.35.06,1,-6,972835,107,632659,92,52
27 Jul 2019 16.35.07,1,-6,972635,107,632765,127,6
27 Jul 2019 16.35.09,1,-6,972552,107,632676,127,6
27 Jul 2019 16.35.10,1,-6,972835,107,632659,92,52
27 Jul 2019 16.35.12,1,-6,972635,107,632765,127,6
27 Jul 2019 16.35.13,1,-6,972552,107,632676,127,6
27 Jul 2019 16.35.15,1,-6,972835,107,632659,92,52
27 Jul 2019 16.35.16,1,-6,972635,107,632765,127,6
27 Jul 2019 16.35.18,1,-6,972552,107,632676,127,6
27 Jul 2019 16.35.19,1,-6,972835,107,632659,92,52
27 Jul 2019 16.35.21,1,-6,972635,107,632765,127,6
27 Jul 2019 16.35.22,1,-6,972552,107,632676,127,6
27 Jul 2019 16.35.24,1,-6,972835,107,632659,92,52
27 Jul 2019 16.35.26,1,-6,972635,107,632765,127,6
27 Jul 2019 16.35.27,1,-6,972552,107,632676,127,6
27 Jul 2019 16.35.29,1,-6,972835,107,632659,92,52
27 Jul 2019 16.35.30,1,-6,972635,107,632765,127,6
27 Jul 2019 16.35.32,1,-6,972552,107,632676,127,6
27 Jul 2019 16.35.33,1,-6,972835,107,632659,92,52
27 Jul 2019 16.35.35,1,-6,972635,107,632765,127,6
27 Jul 2019 16.35.36,1,-6,972552,107,632676,127,6
27 Jul 2019 16.35.38,1,-6,972835,107,632659,92,52
27 Jul 2019 16.35.39,1,-6,972635,107,632765,127,6
27 Jul 2019 16.35.41,1,-6,972552,107,632676,127,6
27 Jul 2019 16.35.42,1,-6,972835,107,632659,92,52
27 Jul 2019 16.35.44,1,-6,972635,107,632765,127,6
27 Jul 2019 16.35.45,1,-6,972552,107,632676,127,6
27 Jul 2019 16.35.47,1,-6,972835,107,632659,92,52
27 Jul 2019 16.35.48,1,-6,972635,107,632765,127,6
27 Jul 2019 16.35.50,1,-6,972552,107,632676,127,6
27 Jul 2019 16.35.51,1,-6,972835,107,632659,92,52
27 Jul 2019 16.35.53,1,-6,972635,107,632765,127,6
27 Jul 2019 16.35.54,1,-6,972552,107,632676,127,6
27 Jul 2019 16.35.56,1,-6,972835,107,632659,92,52
27 Jul 2019 16.35.57,1,-6,972635,107,632765,127,6
27 Jul 2019 16.35.59,1,-6,972552,107,632676,127,6
27 Jul 2019 16.36.00,1,-6,972835,107,632659,92,52
27 Jul 2019 16.36.02,1,-6,972635,107,632765,127,6
27 Jul 2019 16.36.03,1,-6,972552,107,632676,127,6
27 Jul 2019 16.36.05,1,-6,972835,107,632659,92,52
27 Jul 2019 16.36.06,1,-6,972635,107,632765,127,6
