Waktu,User,Lattitude,LongitudeDegree
27 Jul 2019 16.56.03,1,-6,972835,107,632659,92,52
27 Jul 2019 16.56.04,1,-6,972635,107,632765,127,6
27 Jul 2019 16.56.06,1,-6,972552,107,632676,127,6
27 Jul 2019 16.56.07,1,-6,972835,107,632659,92,52
27 Jul 2019 16.56.09,1,-6,972635,107,632765,127,6
27 Jul 2019 16.56.10,1,-6,972552,107,632676,127,6
27 Jul 2019 16.56.12,1,-6,972835,107,632659,92,52
27 Jul 2019 16.56.13,1,-6,972635,107,632765,127,6
27 Jul 2019 16.56.15,1,-6,972552,107,632676,127,6
27 Jul 2019 16.56.16,1,-6,972835,107,632659,92,52
27 Jul 2019 16.56.18,1,-6,972635,107,632765,127,6
27 Jul 2019 16.56.19,1,-6,972552,107,632676,127,6
