Waktu,User,Lattitude,LongitudeDegree
22 Jul 2019 06.28.22,1,-6,972835,107,632659,92,52
22 Jul 2019 06.28.24,1,-6,972635,107,632765,127,6
22 Jul 2019 06.28.25,1,-6,972552,107,632676,127,6
22 Jul 2019 06.28.27,1,-6,972835,107,632659,92,52
22 Jul 2019 06.28.28,1,-6,972635,107,632765,127,6
22 Jul 2019 06.28.30,1,-6,972552,107,632676,127,6
22 Jul 2019 06.28.31,1,-6,972835,107,632659,92,52
22 Jul 2019 06.28.33,1,-6,972635,107,632765,127,6
22 Jul 2019 06.28.34,1,-6,972552,107,632676,127,6
22 Jul 2019 06.28.36,1,-6,972835,107,632659,92,52
22 Jul 2019 06.28.37,1,-6,972635,107,632765,127,6
22 Jul 2019 06.28.39,1,-6,972552,107,632676,127,6
22 Jul 2019 06.28.40,1,-6,972835,107,632659,92,52
22 Jul 2019 06.28.42,1,-6,972635,107,632765,127,6
22 Jul 2019 06.28.43,1,-6,972552,107,632676,127,6
